Date,From,To,Start ME,Stop ME,Running Minutes,Fuel Daily Consumption,Opening Fuel Tank Sounding,Closing Fuel Tank Sounding,Fuel Tank Stock After
16-05-2023,PSTB,SOMBER,4:55:00,5:33:00,0:38,50.6,20.3,19.2,824
16-05-2023,Running ME/Stand by,Running ME/Stand by,5:33:00,5:40:00,0:07,50.6,20.3,19.2,824
16-05-2023,SOMBER,PSTB,5:40:00,6:10:00,0:30,50.6,20.3,19.2,824
16-05-2023,Running ME/Stand by,Running ME/Stand by,6:10:00,6:15:00,0:05,50.6,20.3,19.2,824
16-05-2023,PSTB,SOMBER,6:15:00,6:50:00,0:35,50.6,20.3,19.2,824
16-05-2023,SOMBER,PSTB,7:35:00,8:15:00,0:40,50.6,20.3,19.2,824
16-05-2023,PSTB,SOMBER,16:50:00,17:25:00,0:35,50.6,20.3,19.2,824
16-05-2023,Running ME/Stand by,Running ME/Stand by,17:25:00,17:30:00,0:05,50.6,20.3,19.2,824
16-05-2023,SOMBER,PSTB,17:30:00,18:00:00,0:30,50.6,20.3,19.2,824
16-05-2023,Running ME/Stand by,Running ME/Stand by,18:00:00,18:05:00,0:05,50.6,20.3,19.2,824
16-05-2023,PSTB,SOMBER,18:05:00,18:40:00,0:35,50.6,20.3,19.2,824
16-05-2023,SOMBER,PSTB,20:00:00,20:43:00,0:43,50.6,20.3,19.2,824
17-05-2023,PSTB,SOMBER,4:55:00,5:20:00,0:25,55.2,19.2,18,768
17-05-2023,Running ME/Stand by,Running ME/Stand by,5:20:00,5:25:00,0:05,55.2,19.2,18,768
17-05-2023,SOMBER,PSTB,5:25:00,5:35:00,0:10,55.2,19.2,18,768
17-05-2023,Running ME/Stand by,Running ME/Stand by,5:35:00,6:00:00,0:25,55.2,19.2,18,768
17-05-2023,PSTB,SOMBER,6:00:00,6:35:00,0:35,55.2,19.2,18,768
17-05-2023,SOMBER,PSTB,7:35:00,8:23:00,0:48,55.2,19.2,18,768
17-05-2023,PSTB,SOMBER,16:55:00,17:35:00,0:40,55.2,19.2,18,768
17-05-2023,Running ME/Stand by,Running ME/Stand by,17:35:00,17:40:00,0:05,55.2,19.2,18,768
17-05-2023,SOMBER,PSTB,17:40:00,18:10:00,0:30,55.2,19.2,18,768
17-05-2023,Running ME/Stand by,Running ME/Stand by,18:10:00,18:15:00,0:05,55.2,19.2,18,768
17-05-2023,PSTB,SOMBER,18:15:00,18:48:00,0:33,55.2,19.2,18,768
17-05-2023,SOMBER,PSTB,19:32:00,20:13:00,0:41,55.2,19.2,18,768
18-05-2023,PSTB,SOMBER,4:55:00,5:35:00,0:40,50.6,18,16.9,718
18-05-2023,Running ME/Stand by,Running ME/Stand by,5:35:00,5:40:00,0:05,50.6,18,16.9,718
18-05-2023,SOMBER,PSTB,5:40:00,6:15:00,0:35,50.6,18,16.9,718
18-05-2023,Running ME/Stand by,Running ME/Stand by,6:15:00,6:20:00,0:05,50.6,18,16.9,718
18-05-2023,PSTB,SOMBER,6:20:00,6:55:00,0:35,50.6,18,16.9,718
18-05-2023,SOMBER,PSTB,7:45:00,8:23:00,0:38,50.6,18,16.9,718
18-05-2023,PSTB,SOMBER,16:50:00,17:25:00,0:35,50.6,18,16.9,718
18-05-2023,Running ME/Stand by,Running ME/Stand by,17:25:00,17:30:00,0:05,50.6,18,16.9,718
18-05-2023,SOMBER,PSTB,17:30:00,18:00:00,0:30,50.6,18,16.9,718
18-05-2023,Running ME/Stand by,Running ME/Stand by,18:00:00,18:05:00,0:05,50.6,18,16.9,718
18-05-2023,PSTB,SOMBER,18:05:00,18:38:00,0:33,50.6,18,16.9,718
19-05-2023,PSTB,SOMBER,17:25:00,17:58:00,0:33,18.4,16.9,16.5,699
19-05-2023,Running ME/Stand by,Running ME/Stand by,17:58:00,18:05:00,0:07,18.4,16.9,16.5,699
19-05-2023,SOMBER,PSTB,18:05:00,18:32:00,0:27,18.4,16.9,16.5,699
19-05-2023,PSTB,SOMBER,19:45:00,20:27:00,0:42,18.4,16.9,16.5,699
20-05-2023,PSTB,SOMBER,4:55:00,5:20:00,0:25,55.2,16.5,15.3,644
20-05-2023,Running ME/Stand by,Running ME/Stand by,5:20:00,5:25:00,0:05,55.2,16.5,15.3,644
20-05-2023,SOMBER,PSTB,5:25:00,5:55:00,0:30,55.2,16.5,15.3,644
20-05-2023,Running ME/Stand by,Running ME/Stand by,5:55:00,6:00:00,0:05,55.2,16.5,15.3,644
20-05-2023,PSTB,SOMBER,6:00:00,6:35:00,0:35,55.2,16.5,15.3,644
20-05-2023,SOMBER,PSTB,7:35:00,8:25:00,0:50,55.2,16.5,15.3,644
20-05-2023,PSTB,SOMBER,16:55:00,17:35:00,0:40,55.2,16.5,15.3,644
20-05-2023,Running ME/Stand by,Running ME/Stand by,17:35:00,17:40:00,0:05,55.2,16.5,15.3,644
20-05-2023,SOMBER,PSTB,17:40:00,18:10:00,0:30,55.2,16.5,15.3,644
20-05-2023,PSTB,SOMBER,18:10:00,18:50:00,0:40,55.2,16.5,15.3,644
20-05-2023,SOMBER,PSTB,19:30:00,20:07:00,0:37,55.2,16.5,15.3,644
21-05-2023,PSTB,SOMBER,4:55:00,5:30:00,0:35,55.2,15.3,14.1,589
21-05-2023,Running ME/Stand by,Running ME/Stand by,5:30:00,5:40:00,0:10,55.2,15.3,14.1,589
21-05-2023,SOMBER,PSTB,5:40:00,6:10:00,0:30,55.2,15.3,14.1,589
21-05-2023,Running ME/Stand by,Running ME/Stand by,6:10:00,6:15:00,0:05,55.2,15.3,14.1,589
21-05-2023,PSTB,SOMBER,6:15:00,6:48:00,0:33,55.2,15.3,14.1,589
21-05-2023,SOMBER,PSTB,7:40:00,8:23:00,0:43,55.2,15.3,14.1,589
21-05-2023,PSTB,SOMBER,16:50:00,17:27:00,0:37,55.2,15.3,14.1,589
21-05-2023,Running ME/Stand by,Running ME/Stand by,17:27:00,17:32:00,0:05,55.2,15.3,14.1,589
21-05-2023,SOMBER,PSTB,17:32:00,18:03:00,0:31,55.2,15.3,14.1,589
21-05-2023,Running ME/Stand by,Running ME/Stand by,18:03:00,18:07:00,0:04,55.2,15.3,14.1,589
21-05-2023,PSTB,SOMBER,18:07:00,18:40:00,0:33,55.2,15.3,14.1,589
21-05-2023,SOMBER,PSTB,19:40:00,20:25:00,0:45,55.2,15.3,14.1,589
22-05-2023,PSTB,SOMBER,4:55:00,5:20:00,0:25,55.2,14.1,13.1,1007
22-05-2023,Running ME/Stand by,Running ME/Stand by,5:20:00,5:25:00,0:05,55.2,14.1,13.1,1007
22-05-2023,SOMBER,PSTB,5:25:00,5:55:00,0:30,55.2,14.1,13.1,1007
22-05-2023,Running ME/Stand by,Running ME/Stand by,5:55:00,6:00:00,0:05,55.2,14.1,13.1,1007
22-05-2023,PSTB,SOMBER,6:00:00,6:35:00,0:35,55.2,14.1,13.1,1007
22-05-2023,SOMBER,PSTB,7:35:00,8:30:00,0:55,55.2,14.1,13.1,1007
22-05-2023,PSTB,JETTY BUNKER,11:20:00,11:32:00,0:12,55.2,14.1,13.1,1007
22-05-2023,JETTY BUNKER,PSTB,12:18:00,12:25:00,0:07,55.2,14.1,13.1,1007
22-05-2023,PSTB,SOMBER,16:55:00,17:32:00,0:37,55.2,14.1,13.1,1007
