,Date,From,To,Fuel Daily Consumption,Opening Fuel Tank Sounding,Closing Fuel Tank Sounding,Fuel Tank Stock After
58,17.0,0.0,1.0,55.2,19.2,18.0,768
59,17.0,1.0,0.0,55.2,19.2,18.0,768
60,18.0,0.0,1.0,50.6,18.0,16.9,718
61,18.0,2.0,2.0,50.6,18.0,16.9,718
62,18.0,1.0,0.0,50.6,18.0,16.9,718
63,18.0,2.0,2.0,50.6,18.0,16.9,718
64,18.0,0.0,1.0,50.6,18.0,16.9,718
65,18.0,1.0,0.0,50.6,18.0,16.9,718
66,18.0,0.0,1.0,50.6,18.0,16.9,718
67,18.0,2.0,2.0,50.6,18.0,16.9,718
68,18.0,1.0,0.0,50.6,18.0,16.9,718
69,18.0,2.0,2.0,50.6,18.0,16.9,718
70,18.0,0.0,1.0,50.6,18.0,16.9,718
75,20.0,0.0,1.0,55.2,16.5,15.3,644
76,20.0,2.0,2.0,55.2,16.5,15.3,644
77,20.0,1.0,0.0,55.2,16.5,15.3,644
78,20.0,2.0,2.0,55.2,16.5,15.3,644
79,20.0,0.0,1.0,55.2,16.5,15.3,644
80,20.0,1.0,0.0,55.2,16.5,15.3,644
81,20.0,0.0,1.0,55.2,16.5,15.3,644
82,20.0,2.0,2.0,55.2,16.5,15.3,644
83,20.0,1.0,0.0,55.2,16.5,15.3,644
84,20.0,0.0,1.0,55.2,16.5,15.3,644
85,20.0,1.0,0.0,55.2,16.5,15.3,644
86,21.0,0.0,1.0,55.2,15.3,14.1,589
87,21.0,2.0,2.0,55.2,15.3,14.1,589
88,21.0,1.0,0.0,55.2,15.3,14.1,589
89,21.0,2.0,2.0,55.2,15.3,14.1,589
90,21.0,0.0,1.0,55.2,15.3,14.1,589
91,21.0,1.0,0.0,55.2,15.3,14.1,589
92,21.0,0.0,1.0,55.2,15.3,14.1,589
93,21.0,2.0,2.0,55.2,15.3,14.1,589
94,21.0,1.0,0.0,55.2,15.3,14.1,589
95,21.0,2.0,2.0,55.2,15.3,14.1,589
96,21.0,0.0,1.0,55.2,15.3,14.1,589
97,21.0,1.0,0.0,55.2,15.3,14.1,589
98,22.0,0.0,1.0,55.2,14.1,13.1,1007
99,22.0,2.0,2.0,55.2,14.1,13.1,1007
100,22.0,1.0,0.0,55.2,14.1,13.1,1007
101,22.0,2.0,2.0,55.2,14.1,13.1,1007
102,22.0,0.0,1.0,55.2,14.1,13.1,1007
103,22.0,1.0,0.0,55.2,14.1,13.1,1007
106,22.0,0.0,1.0,55.2,14.1,13.1,1007
107,22.0,2.0,2.0,55.2,14.1,13.1,1007
108,22.0,1.0,0.0,55.2,14.1,13.1,1007
109,22.0,2.0,2.0,55.2,14.1,13.1,1007
110,22.0,0.0,1.0,55.2,14.1,13.1,1007
111,22.0,1.0,0.0,55.2,14.1,13.1,1007
112,23.0,0.0,1.0,55.2,23.7,22.5,952
113,23.0,2.0,2.0,55.2,23.7,22.5,952
114,23.0,1.0,0.0,55.2,23.7,22.5,952
115,23.0,2.0,2.0,55.2,23.7,22.5,952
116,23.0,0.0,1.0,55.2,23.7,22.5,952
117,23.0,1.0,0.0,55.2,23.7,22.5,952
118,23.0,0.0,1.0,55.2,23.7,22.5,952
119,23.0,2.0,2.0,55.2,23.7,22.5,952
120,23.0,1.0,0.0,55.2,23.7,22.5,952
121,23.0,2.0,2.0,55.2,23.7,22.5,952
122,23.0,0.0,1.0,55.2,23.7,22.5,952
123,23.0,1.0,0.0,55.2,23.7,22.5,952
124,24.0,0.0,1.0,55.2,22.5,21.3,897
125,24.0,2.0,2.0,55.2,22.5,21.3,897
126,24.0,1.0,0.0,55.2,22.5,21.3,897
127,24.0,2.0,2.0,55.2,22.5,21.3,897
128,24.0,0.0,1.0,55.2,22.5,21.3,897
129,24.0,1.0,0.0,55.2,22.5,21.3,897
130,24.0,0.0,1.0,55.2,22.5,21.3,897
131,24.0,2.0,2.0,55.2,22.5,21.3,897
132,24.0,1.0,0.0,55.2,22.5,21.3,897
133,24.0,2.0,2.0,55.2,22.5,21.3,897
134,24.0,0.0,1.0,55.2,22.5,21.3,897
