,Date,From,To,Fuel Daily Consumption,Opening Fuel Tank Sounding,Closing Fuel Tank Sounding,Fuel Tank Stock After,Fuel Capacity
79,20.0,0.0,1.0,55.2,16.5,15.3,644,0
80,20.0,1.0,0.0,55.2,16.5,15.3,644,0
81,20.0,0.0,1.0,55.2,16.5,15.3,644,0
82,20.0,2.0,2.0,55.2,16.5,15.3,644,0
83,20.0,1.0,0.0,55.2,16.5,15.3,644,0
84,20.0,0.0,1.0,55.2,16.5,15.3,644,0
85,20.0,1.0,0.0,55.2,16.5,15.3,644,0
86,21.0,0.0,1.0,55.2,15.3,14.1,589,0
87,21.0,2.0,2.0,55.2,15.3,14.1,589,0
88,21.0,1.0,0.0,55.2,15.3,14.1,589,0
89,21.0,2.0,2.0,55.2,15.3,14.1,589,0
90,21.0,0.0,1.0,55.2,15.3,14.1,589,0
91,21.0,1.0,0.0,55.2,15.3,14.1,589,0
92,21.0,0.0,1.0,55.2,15.3,14.1,589,0
93,21.0,2.0,2.0,55.2,15.3,14.1,589,0
94,21.0,1.0,0.0,55.2,15.3,14.1,589,0
95,21.0,2.0,2.0,55.2,15.3,14.1,589,0
96,21.0,0.0,1.0,55.2,15.3,14.1,589,0
97,21.0,1.0,0.0,55.2,15.3,14.1,589,0
98,22.0,0.0,1.0,55.2,14.1,13.1,1007,0
99,22.0,2.0,2.0,55.2,14.1,13.1,1007,0
100,22.0,1.0,0.0,55.2,14.1,13.1,1007,0
101,22.0,2.0,2.0,55.2,14.1,13.1,1007,0
102,22.0,0.0,1.0,55.2,14.1,13.1,1007,0
103,22.0,1.0,0.0,55.2,14.1,13.1,1007,0
106,22.0,0.0,1.0,55.2,14.1,13.1,1007,0
107,22.0,2.0,2.0,55.2,14.1,13.1,1007,0
108,22.0,1.0,0.0,55.2,14.1,13.1,1007,0
109,22.0,2.0,2.0,55.2,14.1,13.1,1007,0
110,22.0,0.0,1.0,55.2,14.1,13.1,1007,0
111,22.0,1.0,0.0,55.2,14.1,13.1,1007,0
112,23.0,0.0,1.0,55.2,23.7,22.5,952,1
113,23.0,2.0,2.0,55.2,23.7,22.5,952,1
114,23.0,1.0,0.0,55.2,23.7,22.5,952,1
115,23.0,2.0,2.0,55.2,23.7,22.5,952,1
116,23.0,0.0,1.0,55.2,23.7,22.5,952,1
117,23.0,1.0,0.0,55.2,23.7,22.5,952,1
118,23.0,0.0,1.0,55.2,23.7,22.5,952,1
119,23.0,2.0,2.0,55.2,23.7,22.5,952,1
120,23.0,1.0,0.0,55.2,23.7,22.5,952,1
121,23.0,2.0,2.0,55.2,23.7,22.5,952,1
122,23.0,0.0,1.0,55.2,23.7,22.5,952,1
123,23.0,1.0,0.0,55.2,23.7,22.5,952,1
124,24.0,0.0,1.0,55.2,22.5,21.3,897,1
125,24.0,2.0,2.0,55.2,22.5,21.3,897,1
126,24.0,1.0,0.0,55.2,22.5,21.3,897,1
127,24.0,2.0,2.0,55.2,22.5,21.3,897,1
128,24.0,0.0,1.0,55.2,22.5,21.3,897,1
129,24.0,1.0,0.0,55.2,22.5,21.3,897,1
130,24.0,0.0,1.0,55.2,22.5,21.3,897,1
131,24.0,2.0,2.0,55.2,22.5,21.3,897,1
132,24.0,1.0,0.0,55.2,22.5,21.3,897,1
133,24.0,2.0,2.0,55.2,22.5,21.3,897,1
134,24.0,0.0,1.0,55.2,22.5,21.3,897,1
